epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,3477.09,0.10617,0.86667,1,0.57629,0.00109325,0.00109325,0.00109325
78,3524.56,0.1624,0.94167,1,0.14182,0.00109119,0.00109119,0.00109119
79,3572.93,0.15353,0.9,1,0.27679,0.00108913,0.00108913,0.00108913
80,3598.47,0.14202,0.925,1,0.19189,0.00108706,0.00108706,0.00108706
81,3648,0.12266,0.91667,1,0.17487,0.001085,0.001085,0.001085
82,3693.91,0.10121,0.89167,1,0.30188,0.00108294,0.00108294,0.00108294
83,3740.41,0.1373,0.94167,1,0.22845,0.00108088,0.00108088,0.00108088
84,3787.99,0.1096,0.88333,1,0.40747,0.00107881,0.00107881,0.00107881
85,3833.56,0.13641,0.91667,1,0.23633,0.00107675,0.00107675,0.00107675
86,3878.65,0.15787,0.95,1,0.18591,0.00107469,0.00107469,0.00107469
87,3925.61,0.1186,0.85833,1,0.6665,0.00107263,0.00107263,0.00107263
88,3963.13,0.10883,0.94167,1,0.19223,0.00107056,0.00107056,0.00107056
89,3997.84,0.1065,0.94167,1,0.17816,0.0010685,0.0010685,0.0010685
90,4048.61,0.12957,0.96667,1,0.06237,0.00106644,0.00106644,0.00106644
91,4099.34,0.11869,0.975,1,0.09323,0.00106437,0.00106437,0.00106437
92,4150.3,0.12599,0.94167,1,0.27063,0.00106231,0.00106231,0.00106231
93,4200.29,0.11843,0.98333,1,0.056,0.00106025,0.00106025,0.00106025
94,4247.05,0.09471,0.93333,1,0.24347,0.00105819,0.00105819,0.00105819
95,4294.86,0.08819,0.975,1,0.06549,0.00105612,0.00105612,0.00105612
96,4322.01,0.06868,0.93333,1,0.20428,0.00105406,0.00105406,0.00105406
